beds,baths,sqft,neighborhood,latitude,longitude,price,description
1,1.0,600.0,Riverside,40.794185151828046,-73.95827941243618,2372,"Cozy 1bd, no pets, hardwood floors"
4,4.0,1207.0,Midtown,40.783658093645826,-74.00505563308582,4461,"Bright 4bd with balcony, dishwasher, and gym access"
3,2.0,991.0,Midtown,40.74789021548918,-73.98834277070937,3644,"Family-friendly 3bd with backyard, washer/dryer, and storage"
2,2.0,799.0,Old Town,40.7255949412743,-73.93919308037995,3061,"Family-friendly 2bd with backyard, washer/dryer, and storage"
2,2.0,806.0,Midtown,40.74234921281288,-73.9686525273574,2776,"Bright 2bd with balcony, dishwasher, and gym access"
4,3.0,1179.0,Midtown,40.74092869681828,-73.98790255371547,4143,"Cozy 4bd, no pets, hardwood floors"
1,1.0,655.0,Riverside,40.81384996710113,-73.96686221828574,2573,"Bright 1bd with balcony, dishwasher, and gym access"
3,3.0,950.0,Uptown,40.77294726999717,-73.98738410787648,3334,"Cozy 3bd, no pets, hardwood floors"
1,2.0,588.0,Old Town,40.72784000964767,-73.9442843547902,2403,"Bright 1bd with balcony, dishwasher, and gym access"
1,1.0,674.0,Old Town,40.733062773100436,-73.95201741377268,2484,"Cozy 1bd, no pets, hardwood floors"
3,2.0,974.0,Riverside,40.81105642884265,-73.96511340572202,3561,Spacious 3bd with in-unit laundry and garage parking
4,3.0,1113.0,Riverside,40.803578036732226,-73.94920707866112,4010,"Family-friendly 4bd with backyard, washer/dryer, and storage"
3,4.0,1008.0,Uptown,40.779446454019535,-73.9799098003368,3398,"Family-friendly 3bd with backyard, washer/dryer, and storage"
4,3.0,1189.0,Midtown,40.75142683645984,-73.98781031883428,4441,"Cozy 4bd, no pets, hardwood floors"
3,3.0,929.0,Downtown,40.71170842126251,-74.01596837283923,3604,"Bright 3bd with balcony, dishwasher, and gym access"
4,,1179.0,Uptown,40.7604229769636,-73.97793114801054,4178,"Bright 4bd with balcony, dishwasher, and gym access"
3,3.0,1019.0,Riverside,40.80561790799544,-73.96486490032495,3520,Spacious 3bd with in-unit laundry and garage parking
1,1.0,645.0,Midtown,40.77239465363791,-73.96203416147243,2396,Modern 1bd near transit with central AC and secure entry
4,3.0,1195.0,Downtown,40.7219120052575,-73.9894097522911,4243,"Bright 4bd with balcony, dishwasher, and gym access"
2,2.0,754.0,Midtown,40.76720129150716,-73.96498120892888,2948,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
3,3.0,1003.0,Uptown,40.8069102436115,-73.95978601795065,3650,"Bright 3bd with balcony, dishwasher, and gym access"
2,2.0,798.0,Riverside,40.80977656175709,-73.96896278606324,2816,"Family-friendly 2bd with backyard, washer/dryer, and storage"
1,2.0,611.0,Downtown,40.71230395262843,-74.0100540479762,2159,"Bright 1bd with balcony, dishwasher, and gym access"
4,3.0,1205.0,Uptown,40.79215501933074,-73.97984417644831,4174,"Cozy 4bd, no pets, hardwood floors"
4,4.0,1229.0,Old Town,40.728306725482646,-73.96346203862214,3911,"Bright 4bd with balcony, dishwasher, and gym access"
3,2.0,1062.0,Riverside,40.82197707873727,-73.96914569499103,3591,"Charming 3bd with fireplace, rooftop access, and pet-friendly policy"
2,3.0,863.0,Downtown,40.71826696524804,-73.98850655966346,2993,"Cozy 2bd, no pets, hardwood floors"
4,3.0,1166.0,Riverside,40.804903521249294,-73.94916787557487,4203,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
3,2.0,1004.0,Uptown,40.769799146254186,-73.94243148092482,3838,Modern 3bd near transit with central AC and secure entry
2,1.0,841.0,Old Town,40.743645322381866,-73.93268957009016,2657,"Family-friendly 2bd with backyard, washer/dryer, and storage"
2,3.0,815.0,Downtown,40.72990095199151,-74.02002361863187,3346,"Family-friendly 2bd with backyard, washer/dryer, and storage"
1,2.0,635.0,Uptown,40.78123662145477,-73.95386899524317,2308,Modern 1bd near transit with central AC and secure entry
1,1.0,,Uptown,40.76229527782926,-73.96447450670048,2432,Modern 1bd near transit with central AC and secure entry
3,3.0,988.0,Midtown,40.76438611391814,-73.96186929019814,3341,Spacious 3bd with in-unit laundry and garage parking
4,3.0,1141.0,Midtown,40.739004534963335,-73.96618442731562,4260,"Family-friendly 4bd with backyard, washer/dryer, and storage"
1,2.0,613.0,Uptown,40.77798635108221,-73.97656411351893,2319,"Family-friendly 1bd with backyard, washer/dryer, and storage"
4,2.0,,Uptown,40.77003594735648,-73.9842542244496,4140,Spacious 4bd with in-unit laundry and garage parking
4,3.0,1170.0,Downtown,40.71764226816945,-74.01934798297738,3894,Modern 4bd near transit with central AC and secure entry
2,2.0,824.0,Midtown,40.766883412003835,-73.99345559256363,2993,Modern 2bd near transit with central AC and secure entry
3,2.0,,Downtown,40.69824359432982,-74.01233370975632,3755,"Cozy 3bd, no pets, hardwood floors"
1,2.0,615.0,Riverside,40.80534048630107,-73.96982823914317,2301,Spacious 1bd with in-unit laundry and garage parking
4,3.0,1200.0,Riverside,40.80171052141999,-73.95814551045797,4352,Spacious 4bd with in-unit laundry and garage parking
3,3.0,1005.0,Midtown,40.770989057419406,-73.98922114370308,3747,"Cozy 3bd, no pets, hardwood floors"
2,3.0,761.0,Downtown,40.70026933581309,-74.00508686625292,2836,"Cozy 2bd, no pets, hardwood floors"
1,1.0,688.0,Downtown,40.71844779503325,-74.02352870367166,2723,"Cozy 1bd, no pets, hardwood floors"
4,3.0,1150.0,Uptown,40.77401270043591,-73.97983024275155,4094,Modern 4bd near transit with central AC and secure entry
2,,744.0,Riverside,40.798806133735354,-73.97563240684352,2868,"Bright 2bd with balcony, dishwasher, and gym access"
4,3.0,1128.0,Uptown,40.793184488701165,-73.9904615984175,4073,Spacious 4bd with in-unit laundry and garage parking
3,2.0,949.0,Downtown,40.69384337563367,-74.01000666573813,3547,Spacious 3bd with in-unit laundry and garage parking
4,,1172.0,Downtown,40.71069216635032,-74.0234557264743,3793,Modern 4bd near transit with central AC and secure entry
4,3.0,1159.0,Midtown,40.75071901388823,-73.99031252580903,4107,"Charming 4bd with fireplace, rooftop access, and pet-friendly policy"
1,2.0,617.0,Riverside,40.796580424635735,-73.96467742220052,2134,"Family-friendly 1bd with backyard, washer/dryer, and storage"
2,1.0,835.0,Uptown,40.77676105338692,-73.9534659643999,3206,"Family-friendly 2bd with backyard, washer/dryer, and storage"
2,1.0,824.0,Uptown,40.7905584556768,-73.98088536224769,3185,"Cozy 2bd, no pets, hardwood floors"
2,3.0,823.0,Midtown,40.75913413792041,-73.98401181617673,3108,"Family-friendly 2bd with backyard, washer/dryer, and storage"
1,2.0,646.0,Riverside,40.81587665769397,-73.97370458914699,2343,Spacious 1bd with in-unit laundry and garage parking
3,2.0,1015.0,Midtown,40.76720806437265,-73.98499774629062,3439,"Cozy 3bd, no pets, hardwood floors"
1,1.0,546.0,Riverside,40.819198798197384,-73.95100930256832,2144,Spacious 1bd with in-unit laundry and garage parking
3,3.0,975.0,Riverside,40.80366375165511,-73.96964739145218,3814,"Cozy 3bd, no pets, hardwood floors"
3,3.0,903.0,Uptown,40.790779270916154,-73.97336540032552,3300,"Bright 3bd with balcony, dishwasher, and gym access"
4,2.0,1171.0,Riverside,40.82146368527174,-73.96555835906187,3784,Spacious 4bd with in-unit laundry and garage parking
3,2.0,990.0,Midtown,40.75313228840985,-73.9910153810329,3711,"Family-friendly 3bd with backyard, washer/dryer, and storage"
2,2.0,,Old Town,40.71604357297762,-73.92852129046287,3189,"Family-friendly 2bd with backyard, washer/dryer, and storage"
4,3.0,1218.0,Downtown,40.702959865568324,-73.99282222097375,4498,Modern 4bd near transit with central AC and secure entry
2,2.0,818.0,Uptown,40.76918477935198,-73.96967310261232,3095,"Cozy 2bd, no pets, hardwood floors"
2,1.0,790.0,Downtown,40.72660268510197,-74.03182696477549,3152,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
4,3.0,1189.0,Downtown,40.73701918652551,-74.01110342236638,4219,Spacious 4bd with in-unit laundry and garage parking
2,2.0,789.0,Downtown,40.714493144585944,-73.9991426092938,2659,"Charming 2bd with fireplace, rooftop access, and pet-friendly policy"
1,2.0,630.0,Midtown,40.76671354867339,-73.98221339274089,2375,"Family-friendly 1bd with backyard, washer/dryer, and storage"
2,2.0,849.0,Uptown,40.79666861500448,-73.96497115144493,3075,"Cozy 2bd, no pets, hardwood floors"
4,3.0,1148.0,Midtown,40.77913057368039,-73.97923206948575,4099,"Cozy 4bd, no pets, hardwood floors"
